resultName	importationModel	ascertainmentModel	transmissionAgeModel	transmissionSizeModel	transmissibilityVarianceModel	transmissionAgeCutoff1	transmissionAgeCutoff2
Table2	full	full	full	full	exponential	25	45
Table3equalContact	full	full	equalContact	full	exponential	25	45
Table3reciprocalTransmission	full	full	reciprocalTransmission	full	exponential	25	45
Table4	parsimonious	parsimonious	parsimonious	full	exponential	25	45
TableDgamma	full	full	full	full	gamma	25	45
TableDnoVariance	full	full	full	full	noVariance	25	45
TableErank2	full	full	full	full	exponential	13	45
TableErank3	full	full	full	full	exponential	19	45
TableErank4	full	full	full	full	exponential	45	65
TableErank5	full	full	full	full	exponential	13	65
TableErank6	full	full	full	full	exponential	19	25
TableErank7	full	full	full	full	exponential	25	65
TableErank8	full	full	full	full	exponential	13	25
TableErank9	full	full	full	full	exponential	19	65
TableErank10	full	full	full	full	exponential	13	19
TableFconsolidateVandU	full	full	full	full	exponential	25	NA
TableFconsolidateWandV	full	full	full	full	exponential	45	NA
TableFconsolidateWandVreciprocal	full	full	reciprocalTransmission	full	exponential	45	NA
TableFequalHSARfromU	full	full	equalHSARfromU	full	exponential	25	45
TableFequalHSARfromV	full	full	equalHSARfromV	full	exponential	25	45
TableFequalHSARfromW	full	full	equalHSARfromW	full	exponential	25	45
TableFequalHSARtoAndFromV	full	full	equalHSARtoAndFromV	full	exponential	25	45
TableFequalHSARtoU	full	full	equalHSARtoU	full	exponential	25	45
TableFequalHSARtoV	full	full	equalHSARtoV	full	exponential	25	45
TableFequalHSARtoW	full	full	equalHSARtoW	full	exponential	25	45
TableFparsimonious	full	full	parsimonious	full	exponential	25	45
TableGequalHSARallAges	full	full	full	full	exponential	NA	NA
TableGequalHSARallAgesAllSizes	full	full	full	none	exponential	NA	NA
TableGequalHSARexceptUtoU	full	full	equalHSARexceptUtoU	full	exponential	45	NA
TableGnoSizeEffect	full	full	parsimonious	none	exponential	25	45
TableHfullTransmissionConsolidateAge	parsimonious	parsimonious	full	full	exponential	25	45
